ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300604.SZ,20260421,151.44,151.44,146.41,148.3,151.8,-3.5,-2.3057,155107.05,2300590.882
300604.SZ,20260422,148.0,152.91,147.26,152.3,148.3,4.0,2.6972,182743.17,2749154.631
300604.SZ,20260423,153.52,159.67,151.93,155.61,152.3,3.31,2.1733,208448.48,3240245.45
300604.SZ,20260424,157.5,161.3,154.66,158.0,155.61,2.39,1.5359,185311.16,2920757.716
300604.SZ,20260427,160.83,179.0,158.58,175.02,158.0,17.02,10.7722,436266.21,7359775.162
300604.SZ,20260428,176.46,188.0,173.99,179.31,175.02,4.29,2.4511,391566.17,7072236.149
300604.SZ,20260429,178.84,180.58,171.93,174.3,179.31,-5.01,-2.794,277521.92,4867648.52
300604.SZ,20260430,176.29,177.29,167.32,174.2,174.3,-0.1,-0.0574,326915.96,5617993.936
300604.SZ,20260506,177.7,183.5,175.36,176.2,174.2,2.0,1.1481,342172.63,6127315.751
300604.SZ,20260507,177.78,187.59,173.45,185.8,176.2,9.6,5.4484,305112.74,5525587.284
300604.SZ,20260508,180.01,187.5,179.47,182.01,185.8,-3.79,-2.0398,219669.5,4006336.156
300604.SZ,20260511,186.0,218.41,183.98,218.41,182.01,36.4,19.9989,470624.19,9729833.582
300604.SZ,20260512,219.99,220.0,209.0,213.08,218.41,-5.33,-2.4404,307597.85,6545371.893
300604.SZ,20260513,210.12,228.0,202.81,228.0,213.08,14.92,7.0021,406427.19,8787811.301
300604.SZ,20260514,225.0,226.24,208.3,208.87,228.0,-19.13,-8.3904,386714.99,8291834.452
300604.SZ,20260515,213.04,219.31,194.98,209.5,208.87,0.63,0.3016,434011.86,8974817.237
300604.SZ,20260518,211.0,214.0,203.31,209.17,209.5,-0.33,-0.1575,289391.71,6061852.395
300604.SZ,20260519,208.49,227.68,203.15,224.05,209.17,14.88,7.1138,389886.39,8421963.133
300604.SZ,20260520,229.82,249.77,228.07,241.56,224.05,17.51,7.8152,381252.73,9048867.135
300604.SZ,20260521,244.0,258.02,234.0,234.77,241.56,-6.79,-2.8109,426753.81,10477285.227
300604.SZ,20260522,237.71,241.77,229.5,236.02,234.77,1.25,0.5324,348709.71,8186842.432
300604.SZ,20260525,236.0,258.68,226.03,248.0,236.02,11.98,5.0758,383322.83,9208390.945
300604.SZ,20260526,243.54,247.93,229.0,235.1,248.0,-12.9,-5.2016,315271.21,7424947.228
300604.SZ,20260527,234.0,236.0,219.16,220.2,235.1,-14.9,-6.3377,343396.77,7805080.6
300604.SZ,20260528,221.4,223.0,214.02,219.03,220.2,-1.17,-0.5313,270932.19,5924919.737
300604.SZ,20260529,222.5,223.6,207.68,210.79,219.03,-8.24,-3.762,288252.66,6157272.613
300604.SZ,20260601,209.0,218.6,203.23,203.64,210.79,-7.15,-3.392,265569.74,5576107.031
300604.SZ,20260602,205.0,212.3,199.73,207.62,203.64,3.98,1.9544,232973.35,4818477.594
300604.SZ,20260603,208.21,222.59,206.0,214.25,207.62,6.63,3.1933,316186.64,6798802.006
300604.SZ,20260604,214.0,227.86,211.0,223.35,214.15,9.2,4.2961,273088.77,6090663.867
300604.SZ,20260605,218.36,218.51,205.6,206.73,223.35,-16.62,-7.4412,305962.87,6466971.413
300604.SZ,20260608,190.0,206.0,190.0,200.4,206.73,-6.33,-3.062,227561.07,4587365.82
